name,node_id_cooc,node_id_core,node_id_chem
bok_choy,171,171,171
bolillo,172,172,172
bolognese_sauce,173,173,173
bombay_duck_fish,174,174,174
bone,175,175,175
bone_marrow,176,176,176
bonito,177,177,177
bonito_flakes,178,178,178
borage,179,179,179
borlotti_bean,180,180,180
bottarga,181,181,181
bottle_gourd,182,182,182
bouquet_garni,183,183,183
bourbon,184,184,184
boursin_cheese,185,185,185
boysenberry,186,186,186
braising_liquid,187,187,187
bran,188,188,188
brandy,189,189,189
branzino,190,190,190
bratwurst,191,191,191
braunschweiger,192,192,192
brazil_nut,193,193,193
bread,194,194,194
bread_crumbs,195,195,195
breadfruit,196,196,196
bream,197,197,197
bresaola,198,198,198
brewers_yeast,199,199,199
brick_cheese,200,200,200
brick_tea,201,201,201
brie_cheese,202,202,202
brine,203,203,203
brioche,204,204,204
broccoli,205,205,205
broccoli_rabe,206,206,206
broccolini,207,207,207
broth,208,208,208
brown_rice,209,209,209
brown_sauce,210,210,210
brown_sugar,211,211,211
browning_sauce,212,212,212
brussels_sprout,213,213,213
bryndza,214,214,214
buckwheat,215,215,215
budae_jjigae_base,216,216,216
buffalo_meat,217,217,217
buffalo_milk,218,218,218
buffalo_wing_sauce,219,219,219
buldak_sauce,220,220,220
bulgogi,221,221,221
bulgur,222,222,222
burdock_root,223,223,223
burrata,224,224,224
butifarra,225,225,225
butter,226,226,226
buttercream,227,227,227
butterfish,228,228,228
butterfly_pea_flower,229,229,229
buttermilk,230,230,230
butternut_squash,231,231,231
butterscotch,232,232,232
cabbage,233,233,233
cacao,234,234,234
cachaca,235,235,235
caciocavallo,236,236,236
caesar_dressing,237,237,237
cajeta,238,238,238
cajun_seasoning,239,239,239
calabrian_chili,240,240,240
calamansi,241,241,241
calcium_chloride,242,242,242
calendula,243,243,243
calpis,244,244,244
calvados,245,245,245
camellia_oil,246,246,246
camembert_cheese,247,247,247
campari,248,248,248
canadian_bacon,249,249,249
candied_fruit,250,250,250
candlenut,251,251,251
candy,252,252,252
candy_coating,253,253,253
cane_syrup,254,254,254
cane_vinegar,255,255,255
cannellini_bean,256,256,256
cannoli_shell,257,257,257
canola_oil,258,258,258
cantal_cheese,259,259,259
cantaloupe,260,260,260
cape_gooseberry,261,261,261
capelin,262,262,262
caper,263,263,263
caperberry,264,264,264
capicola,265,265,265
capon,266,266,266
caramel,267,267,267
caraway_seed,268,268,268
cardamom,269,269,269
cardoon,270,270,270
carob,271,271,271
carob_molasses,272,272,272
carp,273,273,273
carrageenan,274,274,274
carrot,275,275,275
carrot_top,276,276,276
cartilage,277,277,277
cascabel_chile,278,278,278
cashew,279,279,279
cassava,280,280,280
catfish,281,281,281
catnip,282,282,282
cattail,283,283,283
caul_fat,284,284,284
cauliflower,285,285,285
cava,286,286,286
caviar,287,287,287
cayenne_pepper,288,288,288
celeriac,289,289,289
celery,290,290,290
celery_seed,291,291,291
celtuce,292,292,292
century_egg,293,293,293
cereal,294,294,294
chaat_masala,295,295,295
chai_spice,296,296,296
chamomile,297,297,297
champagne,298,298,298
champagne_vinegar,299,299,299
chana_dal,300,300,300
chanterelle_mushroom,301,301,301
chaozhou_salted_vegetable,302,302,302
char_siu_pork,303,303,303
char_siu_sauce,304,304,304
chartreuse,305,305,305
chayote,306,306,306
cheddar_cheese,307,307,307
cheese,308,308,308
cheongyang_chili,309,309,309
cherry,310,310,310
cherry_blossom,311,311,311
cherry_leaf,312,312,312
cherry_liqueur,313,313,313
cherry_pepper,314,314,314
cherry_plum,315,315,315
chervil,316,316,316
cheshire_cheese,317,317,317
chestnut,318,318,318
chia_seed,319,319,319
chicha,320,320,320
chicken,321,321,321
chicken_broth,322,322,322
chicken_fat,323,323,323
chickpea,324,324,324
chicory,325,325,325
chihuahua_cheese,326,326,326
chikuwa,327,327,327
chile_de_arbol,328,328,328
chili_garlic_sauce,329,329,329
chili_oil,330,330,330
chili_paste,331,331,331
chili_pepper,332,332,332
chili_powder,333,333,333
chili_sauce,334,334,334
chiltepin,335,335,335
chinese_bayberry,336,336,336
chinese_broccoli,337,337,337
chinese_celery,338,338,338
chinese_cured_pork,339,339,339
chinese_preserved_olive,340,340,340
chinese_sausage,341,341,341
chinese_toon,342,342,342
chinese_yam,343,343,343
chipotle_pepper,344,344,344
chirimen_jako,345,345,345
chive,346,346,346
chive_flower,347,347,347
chocolate,348,348,348
chocolate_hazelnut_spread,349,349,349
chocolate_liqueur,350,350,350
chokecherry,351,351,351
choricero_pepper,352,352,352
chorizo,353,353,353
choux_pastry,354,354,354
choy_sum,355,355,355
chrysanthemum,356,356,356
chu_hou_paste,357,357,357
chunjang,358,358,358
chuno,359,359,359
chutney,360,360,360
ciabatta,361,361,361
cicada,362,362,362
cinnamon,363,363,363
cipollini_onion,364,364,364
citric_acid,365,365,365
citron,366,366,366
citrus,367,367,367
clam,368,368,368
clamato_juice,369,369,369
clay_pot_rice_sauce,370,370,370
clear_gel,371,371,371
clementine,372,372,372
clotted_cream,373,373,373
clove,374,374,374
clover,375,375,375
club_soda,376,376,376
cobia,377,377,377
cockle,378,378,378
cocktail_sauce,379,379,379
cocoa_butter,380,380,380
cocoa_mass,381,381,381
cocoa_powder,382,382,382
coconut,383,383,383
coconut_aminos,384,384,384
coconut_cream,385,385,385
coconut_liqueur,386,386,386
coconut_milk,387,387,387
coconut_oil,388,388,388
coconut_sugar,389,389,389
coconut_vinegar,390,390,390
coconut_water,391,391,391
cod,392,392,392
cod_liver,393,393,393
coffee,394,394,394
coffee_creamer,395,395,395
coffee_liqueur,396,396,396
cognac,397,397,397
coix_seed,398,398,398
cola,399,399,399
colby_cheese,400,400,400
cold_jelly_noodle,401,401,401
collard_green,402,402,402
comte_cheese,403,403,403
conch,404,404,404
condensed_milk,405,405,405
consomme,406,406,406
cookie,407,407,407
cookie_butter,408,408,408
cooking_spray,409,409,409
copha,410,410,410
cordyceps_flower,411,411,411
